target,lag_group,A_alpha,B_raw_alpha,B_rank_alpha,C_conservative_alpha,C_pca50_alpha,D_momentum,E_hgbr
target_330,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_331,4,1000.0,100.0,100.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_332,4,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_333,4,1000.0,0.001,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_334,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_335,4,1000.0,100.0,1.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_336,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_337,4,1000.0,1000.0,0.1,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_338,4,1000.0,0.1,100.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_339,4,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_340,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_341,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_342,4,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_343,4,1000.0,1.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_344,4,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_345,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_346,4,1000.0,0.1,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_347,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_348,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_349,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_350,4,1000.0,100.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_351,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_352,4,1000.0,1.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_353,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_354,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_355,4,1000.0,10.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_356,4,1000.0,1000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_357,4,1000.0,1000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_358,4,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_359,4,1000.0,10.0,10.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_360,4,1000.0,10000.0,0.001,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_361,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_362,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_363,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_364,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_365,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_366,4,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_367,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_368,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_369,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_370,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_371,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_372,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_373,4,1000.0,10.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_374,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_375,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_376,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_377,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_378,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_379,4,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_380,4,1000.0,10000.0,0.01,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_381,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_382,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_383,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_384,4,1000.0,100.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_385,4,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_386,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_387,4,1000.0,100.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_388,4,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_389,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_390,4,1000.0,100.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_391,4,1000.0,0.1,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_392,4,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_393,4,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_394,4,1000.0,10.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_395,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_396,4,1000.0,0.0001,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_397,4,1000.0,1000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_398,4,1000.0,0.01,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_399,4,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_400,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_401,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_402,4,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_403,4,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_404,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_405,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_406,4,1000.0,1000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_407,4,1000.0,0.01,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_408,4,1000.0,1000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_409,4,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_410,4,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_411,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_412,4,1000.0,100.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_413,4,1000.0,100000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_414,4,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_415,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_416,4,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_417,4,1000.0,100.0,10.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_418,4,1000.0,100.0,10.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_419,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_420,4,1000.0,1000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_421,4,1000.0,10000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_422,4,1000.0,100000.0,10.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_423,4,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
